ARTNO,popularity,Truck,Collect
10056770,2,0.0,1.0
10178601,1,1.0,0.0
10203610,2,1.0,0.0
10205421,1,1.0,0.0
10205483,1,1.0,0.0
10205614,2,0.5,0.0
10205633,1,1.0,0.0
10211276,2,1.0,0.0
10242739,1,0.0,1.0
10244743,2,1.0,0.0
10246308,10,0.6,0.0
10257306,8,0.75,0.0
10263232,1,0.0,0.0
10264302,1,1.0,0.0
10269696,1,1.0,0.0
10270478,1,0.0,1.0
10277984,3,0.6666666666666666,0.0
10293564,1,0.0,1.0
10301125,1,0.0,0.0
10301960,1,1.0,0.0
10304355,1,0.0,0.0
10308198,1,0.0,1.0
10311308,2,0.0,1.0
10311539,1,1.0,0.0
10330948,2,0.5,0.0
10330953,1,0.0,0.0
10330972,1,0.0,1.0
10331165,1,0.0,0.0
10331194,3,0.6666666666666666,0.3333333333333333
10333065,1,1.0,0.0
10338421,1,1.0,0.0
10339171,2,0.5,0.5
10357004,4,1.0,0.0
10365419,1,0.0,1.0
10365928,1,1.0,0.0
10368489,3,1.0,0.0
10378445,1,1.0,0.0
10381909,1,1.0,0.0
10385926,1,1.0,0.0
10385950,1,0.0,1.0
10391772,2,1.0,0.0
10401931,1,0.0,1.0
10408683,1,1.0,0.0
10409932,1,1.0,0.0
10423886,2,1.0,0.0
10429973,1,0.0,1.0
10436959,1,0.0,1.0
10436978,1,1.0,0.0
10442385,1,0.0,0.0
10443974,6,0.1666666666666666,0.8333333333333334
10446557,2,1.0,0.0
10446883,3,1.0,0.0
10458183,1,0.0,0.0
10458989,1,1.0,0.0
10477049,1,0.0,1.0
10477935,1,0.0,1.0
10482036,1,0.0,1.0
10485252,1,1.0,0.0
10486652,1,1.0,0.0
10486732,1,1.0,0.0
10489537,1,0.0,1.0
10492455,2,0.5,0.5
10499517,1,0.0,1.0
10502379,1,0.0,1.0
10502930,1,0.0,1.0
10509125,1,0.0,0.0
10510299,3,1.0,0.0
10511208,1,0.0,1.0
10514358,1,0.0,1.0
10515485,1,1.0,0.0
10520260,1,0.0,1.0
10529086,1,1.0,0.0
10530259,1,0.0,1.0
17228340,1,0.0,1.0
20110540,1,0.0,1.0
20132453,1,0.0,1.0
20193899,1,0.0,1.0
20200456,1,0.0,1.0
20201724,4,1.0,0.0
20204647,1,0.0,1.0
20204652,1,1.0,0.0
20205430,1,1.0,0.0
20207410,6,0.8333333333333334,0.0
20214566,16,0.75,0.0
20214571,2,0.0,0.0
20214731,1,0.0,1.0
20219936,2,0.5,0.5
20245959,1,1.0,0.0
20246360,3,0.6666666666666666,0.0
20246708,3,0.6666666666666666,0.0
20257315,4,0.25,0.25
20263830,1,1.0,0.0
20275814,4,0.5,0.5
20278167,3,0.3333333333333333,0.6666666666666666
20285040,1,1.0,0.0
20293568,1,0.0,1.0
20297279,1,1.0,0.0
20300248,1,0.0,1.0
20301554,1,0.0,1.0
20312492,1,0.0,1.0
20317079,3,0.6666666666666666,0.3333333333333333
20320312,1,1.0,0.0
20320802,1,1.0,0.0
20329195,1,1.0,0.0
20331198,5,0.4,0.2
20334314,1,1.0,0.0
20341965,1,1.0,0.0
20359229,1,1.0,0.0
20378464,1,0.0,1.0
20390871,1,0.0,1.0
20393247,1,0.0,1.0
20393662,3,0.0,1.0
20396929,1,0.0,1.0
20399895,1,0.0,0.0
20400016,1,1.0,0.0
20403562,1,0.0,0.0
20410534,1,1.0,0.0
20423602,1,1.0,0.0
20426808,1,1.0,0.0
20434115,1,1.0,0.0
20434163,1,0.0,1.0
20434832,1,0.0,1.0
20440362,1,0.0,1.0
20448834,1,0.0,1.0
20449517,1,1.0,0.0
20451379,1,1.0,0.0
20461378,1,1.0,0.0
20467629,1,1.0,0.0
20468110,2,0.0,1.0
20476346,3,0.3333333333333333,0.6666666666666666
20481692,1,0.0,0.0
20482494,1,1.0,0.0
20484817,1,1.0,0.0
20485572,1,1.0,0.0
20488504,2,0.0,1.0
20502166,1,0.0,1.0
20503236,1,0.0,1.0
20503571,1,0.0,0.0
20504194,1,0.0,1.0
20508408,1,0.0,1.0
20510307,1,1.0,0.0
20510939,1,0.0,0.0
20514070,1,1.0,0.0
20518474,1,0.0,1.0
20519888,2,0.5,0.5
20524677,1,1.0,0.0
20527732,1,1.0,0.0
20532309,1,1.0,0.0
20532743,1,1.0,0.0
20538764,1,1.0,0.0
20543001,1,0.0,1.0
20549668,1,1.0,0.0
20557413,1,0.0,1.0
24524485,1,0.0,1.0
30072255,1,1.0,0.0
30141126,1,0.0,1.0
30160407,1,0.0,0.0
30179435,1,0.0,1.0
30195548,1,0.0,0.0
30205496,1,1.0,0.0
30205613,1,1.0,0.0
30211275,1,0.0,1.0
30212406,1,1.0,0.0
30212562,1,1.0,0.0
30213552,1,0.0,1.0
30214504,7,0.4285714285714285,0.0
30217135,1,1.0,0.0
30217159,1,1.0,0.0
30219281,2,1.0,0.0
30238543,2,0.0,1.0
30238859,1,1.0,0.0
30246374,1,0.0,0.0
30246388,1,1.0,0.0
30246722,3,0.3333333333333333,0.0
30256891,26,0.6538461538461539,0.0
30258913,1,0.0,1.0
30261307,1,1.0,0.0
30263245,18,0.5,0.0555555555555555
30263844,1,0.0,1.0
30275861,2,1.0,0.0
30277959,18,0.6111111111111112,0.1111111111111111
30278727,1,1.0,0.0
30281739,1,0.0,1.0
30291658,1,1.0,0.0
30295656,2,0.0,1.0
30312236,1,1.0,0.0
30324507,1,0.0,1.0
30326177,1,0.0,1.0
30326771,1,0.0,1.0
30327252,1,0.0,1.0
30330947,1,0.0,0.0
30341111,1,1.0,0.0
30349838,1,0.0,1.0
30351143,1,0.0,1.0
30351746,1,0.0,1.0
30366007,1,1.0,0.0
30366917,1,1.0,0.0
30378454,1,0.0,1.0
30382347,1,0.0,0.0
30388759,1,1.0,0.0
30391766,2,1.0,0.0
30392469,1,1.0,0.0
30393497,1,0.0,1.0
30403571,1,1.0,0.0
30404028,3,1.0,0.0
30409295,2,1.0,0.0
30421240,1,0.0,1.0
30426836,1,0.0,1.0
30428326,1,0.0,1.0
30430536,1,1.0,0.0
30432502,1,0.0,1.0
30440413,1,0.0,0.0
30456593,1,0.0,1.0
30457677,1,0.0,0.0
30460811,1,1.0,0.0
30466224,1,0.0,1.0
30472927,1,1.0,0.0
30479740,1,0.0,1.0
30483148,1,0.0,1.0
30488966,1,0.0,1.0
30493350,1,1.0,0.0
30506753,1,1.0,0.0
30514036,1,1.0,0.0
30514791,1,0.0,1.0
30522381,1,0.0,1.0
30524573,1,0.0,1.0
30528514,1,0.0,1.0
30529467,1,0.0,0.0
30533520,1,1.0,0.0
30546966,1,0.0,1.0
30550779,1,0.0,1.0
30553235,1,0.0,1.0
40102978,1,0.0,1.0
40180805,1,0.0,0.0
40201723,3,1.0,0.0
40204651,1,1.0,0.0
40205537,1,1.0,0.0
40205599,3,1.0,0.0
40211977,3,0.3333333333333333,0.3333333333333333
40217955,2,0.5,0.5
40233535,1,1.0,0.0
40234436,1,1.0,0.0
40242653,1,0.0,1.0
40243214,1,1.0,0.0
40243596,1,0.0,1.0
40249541,1,1.0,0.0
40256895,11,0.3636363636363636,0.0
40256942,1,1.0,0.0
40257296,1,0.0,0.0
40263848,1,1.0,0.0
40273593,1,1.0,0.0
40277992,4,0.25,0.25
40278307,1,0.0,1.0
40291667,1,1.0,0.0
40291672,1,1.0,0.0
40294982,1,1.0,0.0
40295439,1,1.0,0.0
40295528,3,1.0,0.0
40296311,1,1.0,0.0
40301124,1,1.0,0.0
40318978,1,1.0,0.0
40321631,1,0.0,1.0
40323654,1,0.0,1.0
40327505,2,1.0,0.0
40331055,1,1.0,0.0
40331164,2,0.5,0.0
40348715,1,1.0,0.0
40351246,1,1.0,0.0
40351741,1,0.0,1.0
40381286,1,0.0,1.0
40381291,1,0.0,1.0
40391836,2,1.0,0.0
40393661,1,1.0,0.0
40399998,2,0.5,0.5
40407922,1,1.0,0.0
40409935,1,0.0,1.0
40415031,2,0.0,1.0
40421188,1,0.0,1.0
40430588,1,1.0,0.0
40436774,2,0.5,0.5
40436991,1,0.0,0.0
40440422,1,0.0,0.0
40442195,1,1.0,0.0
40446122,1,0.0,1.0
40448036,1,0.0,1.0
40452575,1,0.0,0.0
40456286,2,1.0,0.0
40456899,1,0.0,1.0
40457672,1,0.0,0.0
40458186,1,0.0,1.0
40458191,1,1.0,0.0
40458600,1,0.0,1.0
40459992,1,0.0,0.0
40460815,2,0.0,1.0
40469302,1,0.0,1.0
40480856,1,1.0,0.0
40482515,2,0.5,0.5
40496739,1,1.0,0.0
40496744,1,1.0,0.0
40497828,4,0.75,0.25
40498234,1,0.0,1.0
40499002,1,1.0,0.0
40501892,2,0.5,0.5
40503546,1,0.0,1.0
