ARTNO,popularity,Truck,Collect,Correlations
100467.0,1.0,0.0,1.0,"{'473693.0': 1.0, '20504194.0': 1.0, '50395382.0': 1.0, '30522381.0': 1.0, '40504193.0': 1.0, '30432502.0': 1.0, '10056770.0': 1.0, '40534562.0': 1.0, '10482036.0': 1.0, '10477049.0': 1.0}"
103343.0,1.0,1.0,0.0,"{'214505.0': 0.9994, '70277957.0': 0.9996, '20214566.0': 1.0, '70403606.0': 1.0, '60442383.0': 1.0002, '30256891.0': 1.001}"
116595.0,1.0,1.0,0.0,{}
138432.0,1.0,1.0,0.0,"{'40496739.0': 1.0, '40273593.0': 1.0, '80089239.0': 0.9999, '50298418.0': 1.0, '30275861.0': 1.0, '40496744.0': 1.0}"
177225.0,1.0,0.0,1.0,"{'20543001.0': 1.0, '20508408.0': 1.0, '40448036.0': 1.0, '90538001.0': 1.0, '90279719.0': 1.0, '70466811.0': 1.0, '20312492.0': 1.0, '20448834.0': 1.0, '70532062.0': 1.0, '40508407.0': 1.0, '542998.0': 1.0, '40323654.0': 1.0, '30213552.0': 1.0, '50512649.0': 1.0, '70213545.0': 1.0, '50213546.0': 1.0, '90213549.0': 1.0, '40508884.0': 1.0, '20132453.0': 1.0}"
205493.0,1.0,1.0,0.0,"{'10205633.0': 1.0, '80524882.0': 0.9999, '80398058.0': 1.0, '60205485.0': 1.0, '50238858.0': 1.0, '30205613.0': 1.0, '40234436.0': 1.0, '20297279.0': 1.0, '60285024.0': 1.0, '30261307.0': 1.0, '80519946.0': 1.0, '50285034.0': 1.0, '40204651.0': 1.0, '4375085.0': 1.0, '20285040.0': 1.0, '205501.0': 1.0, '10205483.0': 1.0, '10301960.0': 1.0, '70205480.0': 1.0, '60335199.0': 1.0, '90205498.0': 1.0, '90285032.0': 1.0, '80205535.0': 1.0, '30212562.0': 1.0, '80213432.0': 1.0, '50205495.0': 1.0, '212554.0': 1.0, '205662.0': 1.0, '70285028.0': 1.0, '10338421.0': 1.0, '30205496.0': 1.0, '30238859.0': 1.0, '10205614.0': 1.0, '20359229.0': 1.0, '40205599.0': 0.9999, '20204652.0': 1.0, '30312236.0': 1.0, '285036.0': 1.0, '10311539.0': 1.0, '80208261.0': 1.0, '70213569.0': 1.0, '90205484.0': 1.0}"
205501.0,1.0,1.0,0.0,"{'50205495.0': 1.0, '90205484.0': 1.0, '70213569.0': 1.0, '80208261.0': 1.0, '10311539.0': 1.0, '285036.0': 1.0, '30312236.0': 1.0, '20204652.0': 1.0, '40205599.0': 0.9999, '20359229.0': 1.0, '10205614.0': 1.0, '30238859.0': 1.0, '30205496.0': 1.0, '40204651.0': 1.0, '60205485.0': 1.0, '80398058.0': 1.0, '80524882.0': 0.9999, '10205633.0': 1.0, '50238858.0': 1.0, '30205613.0': 1.0, '40234436.0': 1.0, '20297279.0': 1.0, '60285024.0': 1.0, '30261307.0': 1.0, '80519946.0': 1.0, '50285034.0': 1.0, '4375085.0': 1.0, '10338421.0': 1.0, '205493.0': 1.0, '20285040.0': 1.0, '10205483.0': 1.0, '10301960.0': 1.0, '70205480.0': 1.0, '60335199.0': 1.0, '90205498.0': 1.0, '90285032.0': 1.0, '80205535.0': 1.0, '30212562.0': 1.0, '80213432.0': 1.0, '212554.0': 1.0, '205662.0': 1.0, '70285028.0': 1.0}"
205662.0,1.0,1.0,0.0,"{'10311539.0': 1.0, '40204651.0': 1.0, '10301960.0': 1.0, '10205483.0': 1.0, '205501.0': 1.0, '20285040.0': 1.0, '205493.0': 1.0, '4375085.0': 1.0, '50285034.0': 1.0, '80519946.0': 1.0, '30261307.0': 1.0, '60285024.0': 1.0, '20297279.0': 1.0, '40234436.0': 1.0, '30205613.0': 1.0, '70205480.0': 1.0, '60335199.0': 1.0, '90205498.0': 1.0, '90285032.0': 1.0, '80205535.0': 1.0, '30212562.0': 1.0, '80213432.0': 1.0, '212554.0': 1.0, '70285028.0': 1.0, '10338421.0': 1.0, '30205496.0': 1.0, '30238859.0': 1.0, '10205614.0': 1.0, '20359229.0': 1.0, '40205599.0': 0.9999, '20204652.0': 1.0, '30312236.0': 1.0, '50238858.0': 1.0, '10205633.0': 1.0, '80524882.0': 0.9999, '80398058.0': 1.0, '60205485.0': 1.0, '285036.0': 1.0, '80208261.0': 1.0, '50205495.0': 1.0, '70213569.0': 1.0, '90205484.0': 1.0}"
212554.0,1.0,1.0,0.0,"{'80519946.0': 1.0, '60205485.0': 1.0, '80398058.0': 1.0, '80524882.0': 0.9999, '10205633.0': 1.0, '50238858.0': 1.0, '30205613.0': 1.0, '40234436.0': 1.0, '20297279.0': 1.0, '60285024.0': 1.0, '30261307.0': 1.0, '50285034.0': 1.0, '40204651.0': 1.0, '70285028.0': 1.0, '4375085.0': 1.0, '205493.0': 1.0, '20285040.0': 1.0, '205501.0': 1.0, '10205483.0': 1.0, '10301960.0': 1.0, '70205480.0': 1.0, '60335199.0': 1.0, '90205498.0': 1.0, '90285032.0': 1.0, '80205535.0': 1.0, '30212562.0': 1.0, '80213432.0': 1.0, '205662.0': 1.0, '10338421.0': 1.0, '30205496.0': 1.0, '30238859.0': 1.0, '10205614.0': 1.0, '20359229.0': 1.0, '40205599.0': 0.9999, '20204652.0': 1.0, '30312236.0': 1.0, '285036.0': 1.0, '10311539.0': 1.0, '80208261.0': 1.0, '50205495.0': 1.0, '70213569.0': 1.0, '90205484.0': 1.0}"
214505.0,19.0,0.8947368421052632,0.0,"{'20214566.0': 169.0, '30256891.0': 169.0, '70277957.0': 100.002, '70214559.0': 99.996, '30277959.0': 63.9936, '30263245.0': 49.0014, '90256893.0': 48.9972, '20207410.0': 36.0, '80331930.0': 36.0, '60442383.0': 36.0, '70246386.0': 16.0, '10257306.0': 16.0, '90246352.0': 15.9984, '20201724.0': 9.0, '10357004.0': 9.0, '70277981.0': 9.0, '257298.0': 9.0, '70257638.0': 9.0, '10246308.0': 9.0, '40256895.0': 8.9991, '10368489.0': 9.0, '70346932.0': 9.0, '50357002.0': 9.0, '70529088.0': 4.0, '10446557.0': 4.0, '20246360.0': 4.0002, '80256940.0': 4.0, '60529084.0': 4.0, '40201723.0': 4.0002, '90190524.0': 4.0, '10446883.0': 4.0002, '228705.0': 1.0, '90277961.0': 1.0003, '10333065.0': 1.0, '50277977.0': 0.9999, '60473015.0': 1.0, '50378410.0': 1.0, '90429771.0': 1.0, '20423602.0': 1.0, '10277984.0': 0.9999, '421185.0': 1.0, '30246722.0': 0.9999, '50404032.0': 0.9999, '40256942.0': 1.0, '60263244.0': 0.9999, '103343.0': 1.0, '30404028.0': 0.9999, '257302.0': 0.9999, '10178601.0': 1.0, '70534645.0': 1.0, '20484817.0': 1.0, '90201725.0': 1.0, '50334303.0': 1.0, '50308196.0': 1.0, '50356187.0': 1.0, '10378445.0': 1.0, '40249541.0': 1.0, '20329195.0': 1.0, '50246306.0': 1.0, '90434961.0': 1.0, '347510.0': 1.0, '70403606.0': 1.0, '40301124.0': 1.0, '20467629.0': 1.0, '10408683.0': 1.0, '30278727.0': 1.0, '40480856.0': 1.0, '20519888.0': 1.0, '40318978.0': 1.0, '70256931.0': 0.9999, '80534372.0': 1.0, '90282180.0': 1.0, '90510945.0': 1.0, '392461.0': 1.0, '70404026.0': 1.0, '30275861.0': 1.0, '10529086.0': 1.0, '70246348.0': 0.9999, '70214564.0': 1.0, '60342656.0': 1.0, '30460811.0': 1.0, '20257315.0': 1.0, '10486732.0': 1.0, '60261103.0': 1.0, '10211276.0': 1.0, '90338417.0': 1.0, '20246708.0': 0.9999, '30388759.0': 1.0, '50518910.0': 1.0, '40458191.0': 1.0, '60403602.0': 1.0, '40501892.0': 1.0, '90404822.0': 1.0, '60246396.0': 0.9999, '30072255.0': 1.0, '90246328.0': 1.0, '50518477.0': 1.0, '90124534.0': 0.9999, '70290360.0': 1.0, '50335618.0': 1.0, '20320802.0': 1.0, '60533057.0': 1.0}"
