Correlation,Article 1,Article 2
323.99640000000005,30256891,70277957
323.9838,70277957,30256891
225.0,20214566,30256891
224.991,30256891,20214566
169.0,20214566,70277957
169.0,30256891,214505
169.0,20214566,214505
168.9974,214505,20214566
168.9974,214505,30256891
168.98700000000002,70277957,20214566
100.002,70277957,214505
99.997,214505,70214559
99.997,214505,70277957
99.996,70214559,214505
81.0108,30256891,90246352
81.0108,30256891,30277959
81.0108,30256891,30263245
81.0,30277959,90256893
81.0,90256893,30277959
81.0,70214559,30277959
81.0,70214559,20214566
81.0,30263245,30256891
81.0,90246352,30256891
81.0,30277959,70214559
81.0,20214566,70214559
81.0,30277959,30256891
64.008,70277957,90246352
64.0072,214505,30277959
64.00319999999999,70214559,30256891
64.0016,30256891,70214559
64.0008,90246352,70277957
64.0,10257306,30263245
64.0,257298,30263245
63.9936,30263245,10257306
63.9936,30277959,214505
63.9936,30263245,257298
49.0014,30263245,30277959
49.0014,30263245,214505
49.0014,30277959,70277957
49.0014,30277959,30263245
48.99720000000001,214505,90256893
48.99720000000001,214505,30263245
48.9972,90256893,214505
48.9972,70214559,70277957
48.9972,90256893,30256891
48.9951,70277957,70214559
48.9951,70277957,30277959
48.9944,30256891,90256893
36.0048,30256891,257298
36.0012,214505,60442383
36.0012,214505,20207410
36.0012,214505,80331930
36.0,90256893,70277957
36.0,20214566,30277959
36.0,10246308,30277959
36.0,80331930,214505
36.0,20207410,214505
36.0,257298,30256891
36.0,90256893,70214559
36.0,80214568,30277959
36.0,60442383,214505
36.0,70214559,90256893
35.9982,70277957,90256893
35.9982,70277957,30263245
35.9964,30263245,70277957
35.9964,30277959,80214568
35.9964,30277959,20214566
35.9964,30277959,10246308
25.002,90256893,10246308
25.002,30263245,90256893
25.002,90246352,20214566
25.002,30277959,40256895
25.002,30263245,40256895
25.002,30277959,30214504
25.002,90256893,30263245
25.0005,30214504,30277959
25.0005,90277961,40256895
25.0005,30214504,80214568
25.0005,70277957,60442383
25.0005,70277957,257298
25.0,70214564,40256895
25.0,70246386,30256891
25.0,10246308,90256893
25.0,20214566,90246352
25.0,257298,70277957
25.0,20214566,20207410
25.0,20214566,60442383
24.999,30256891,60442383
24.999,20207410,30256891
24.999,20207410,20214566
24.999,30256891,20207410
24.999,80214568,30214504
24.999,30256891,70246386
24.999,60442383,30256891
24.999,60442383,70277957
24.999,60442383,20214566
24.9975,40256895,30277959
24.9975,40256895,90277961
24.9975,40256895,30263245
24.9975,40256895,70214564
16.002,70277957,70246386
16.002,70277957,50214560
16.002,70277957,70346932
16.000799999999998,20207410,70214559
16.000799999999998,80331930,30263245
16.000799999999998,80331930,30256891
16.000799999999998,80331930,70214559
16.000799999999998,80331930,90256893
16.000799999999998,80331930,30277959
16.0,20214566,90256893
16.0,10257306,214505
16.0,10257306,30277959
16.0,10257306,10246308
16.0,20214566,30263245
16.0,70257638,70246386
16.0,10257306,90256893
16.0,50214560,70277957
16.0,50214560,30256891
16.0,70257638,30256891
16.0,20201724,70277981
16.0,10257306,40256895
16.0,70346932,20214566
16.0,10246308,30263245
16.0,10246308,10257306
16.0,70257638,90246352
16.0,70246386,70257638
16.0,70246386,90246352
16.0,70246386,214505
16.0,70246386,70277957
16.0,70346932,30256891
16.0,70346932,70214559
16.0,70346932,70277957
16.0,70246386,20214566
16.0,20214566,70246386
16.0,70277981,20201724
16.0,20214566,70346932
16.0,20257315,30263245
15.9992,30214504,30263245
15.9992,90277961,30277959
15.9984,90246352,214505
