ARTNO,popularity
70518513,1
10242739,1
00527158,1
60532208,1
20399895,1
80251513,1
70532062,2
60509142,3
60185034,2
60503569,1
20214566,16
30256891,26
20246708,3
70277957,21
70214564,5
40256895,11
70346932,5
30246722,3
70277981,5
50277977,3
40180805,1
10304355,1
60272837,1
80214568,6
30277959,18
30214504,7
10442385,1
20214571,2
90277961,7
30263245,18
20257315,4
10301125,1
10446883,3
10529086,1
60342656,1
60529084,2
70529088,2
10446557,2
00214505,19
10368489,3
20329195,1
70214559,12
70246386,5
80331930,6
90256893,12
70256931,3
10357004,4
00246417,1
10246308,10
10257306,8
50214560,5
50330606,2
70246683,4
80410055,2
30529467,1
00103343,1
70403606,1
60442383,6
20481692,1
90246352,9
00257298,8
80470030,2
40295439,1
80221451,1
60263244,3
30382347,1
10458183,1
60211274,1
60246396,3
60431718,1
00497000,1
90027972,1
80474764,1
50242723,1
40459992,1
70290360,1
40318978,1
10277984,3
20201724,4
40201723,3
60473015,1
70246348,3
80256940,4
00452544,2
20331198,5
70509132,1
20510939,1
90509145,1
10509125,1
10263232,1
40257296,1
10205614,2
50356187,1
00228705,2
10486732,1
40480856,1
20423602,1
40233535,1
30195548,1
60400321,1
00431151,1
00275674,1
00295530,1
10244743,2
10423886,2
20245959,1
20485572,1
30291658,1
30341111,1
40263848,1
50263838,1
50275558,1
80215332,1
80261258,4
30472927,1
00307552,1
00514033,1
20524677,1
30514036,1
70514039,1
10331194,3
10385926,1
20334314,1
40497828,4
50497818,1
60331059,1
60331200,2
60505511,3
80331063,1
00330982,2
10330948,2
40331164,2
70330945,3
70331186,2
00490522,1
20514070,1
20538764,1
40527670,1
60300374,1
60466246,1
00324518,4
10264302,1
20449517,1
50522375,1
80460823,1
00473693,2
20434832,1
30528514,1
30488966,1
10333065,1
20484817,1
50308196,1
50518477,2
50518910,1
60533057,1
70534645,2
90429771,1
00502474,1
20300248,1
20502166,1
30456593,1
40504249,1
50456592,1
50471026,2
50525642,2
60159520,2
60452174,1
70193321,1
70238541,3
70456591,1
80429757,3
20278167,3
40501892,2
70286645,2
80089239,3
80275887,7
95685100,1
30426836,1
40456899,1
40539183,1
60444688,1
40503546,1
00466598,1
40446122,1
50472827,1
90382882,2
10330972,1
20434163,1
40436774,2
50330951,2
70434113,1
90331166,2
00217797,1
00473546,5
40460815,2
00428549,6
60403584,2
24524485,1
40399998,2
70467721,1
30326177,1
50474751,2
40507342,2
70366798,1
90347351,3
30378454,1
70186090,1
90366783,1
60273417,1
80272841,1
00396416,1
60427523,1
30421240,1
20317079,3
00441758,1
80309241,1
00275848,1
00423721,1
50520753,1
90262196,1
10510299,3
10515485,1
20532309,1
50445320,1
70292104,2
30179435,1
80480393,1
10311308,2
10385950,1
00488425,1
00549546,1
20468110,2
20518474,1
30351143,1
30546966,1
50258323,1
50353612,1
90538001,2
30514791,1
90348586,1
30326771,1
50509374,1
70527720,1
80326778,1
10365419,1
60400000,1
30479740,1
30483148,1
00440768,1
10436959,1
50444783,1
90440764,1
90466155,1
40525685,1
60348125,1
90435102,1
20275814,4
90282180,2
20219936,2
60217228,2
70217157,1
70396917,1
80396926,1
10530259,1
20519888,2
40321631,1
50320805,1
50517760,1
80010222,1
90198030,1
90519880,1
60501886,1
10401931,1
10443974,6
90301555,1
00309235,1
60322130,1
40469302,1
60282186,1
90309245,2
60214569,1
20403562,1
80214549,3
90392046,1
70521539,1
30263844,1
50357002,4
10205421,1
40205599,3
40327505,2
50205612,1
60212565,1
80524882,3
00553232,1
30553235,1
70512648,1
10436978,1
00362746,1
20451379,1
80362974,1
90160211,1
90446148,1
80436965,1
50342237,3
50443811,1
00445370,1
20510307,1
20532743,1
50457105,1
50510301,1
60391859,1
60396121,3
60412932,1
60510310,1
70417892,1
80391764,1
90511105,3
10477935,1
40217955,2
60395876,1
10502930,1
50486650,2
20390871,1
00280637,1
50465756,1
20410534,1
40430588,1
70320319,1
80320521,1
00116595,1
40211977,3
70277995,3
00458697,1
50458831,2
90472340,1
20200456,1
40415031,2
60534641,2
80377937,2
50490138,1
50160208,1
90124534,3
40294982,1
40295528,3
40393661,1
50293604,2
60293566,3
90294512,2
00445332,2
00510308,2
10391772,2
30391766,2
30409295,2
40391836,2
40456286,2
40510306,2
50396094,2
50494141,2
60409294,2
60518486,2
70510300,2
90391853,2
10308198,1
30238543,2
60474425,1
10429973,1
60403602,2
00347510,1
40256942,1
90510945,1
00343003,1
00461379,3
10270478,1
20476346,3
40458600,1
70392844,1
80435942,1
80461380,2
90207402,1
10492455,2
70261131,1
40534562,2
20214731,1
30351746,1
40351741,1
80094014,2
10269696,1
20301554,1
30281739,1
10293564,1
70490948,1
90245946,2
00296313,1
00351248,1
40291667,1
40291672,1
40296311,1
40348715,1
40351246,1
60245957,1
60245962,1
60295532,1
70245952,1
70488318,1
30327252,1
90451309,1
10178601,1
90434961,1
60498110,1
30428326,1
20488504,2
60481384,1
00426828,1
40277992,4
50257253,1
80257261,1
80509481,1
90404822,2
10056770,2
17228340,1
20503236,1
30524573,1
50395382,2
50534632,1
60534288,1
90523014,1
90542668,1
70530256,1
00502105,1
10339171,2
10502379,1
20393247,1
20440362,1
30393497,1
30466224,1
60280205,1
70177255,1
80393249,1
80502111,1
90066708,2
04375085,1
80398058,1
10205483,1
10338421,1
00205493,1
00205501,1
00205662,1
00212554,1
00285036,1
10205633,1
10301960,1
10311539,1
20204652,1
20285040,1
20297279,1
20359229,1
30205496,1
30205613,1
30212562,1
30238859,1
30261307,1
30312236,1
40204651,1
40234436,1
50205495,1
50238858,1
50285034,1
60205485,1
60285024,1
60335199,1
70205480,1
70213569,1
70285028,1
80205535,1
80208261,1
80213432,1
80519946,1
90205484,1
90205498,1
90285032,1
30295656,2
40243596,1
70118968,1
90224048,1
00100467,1
10477049,1
10482036,1
20504194,1
30432502,1
30522381,1
40504193,1
50467883,1
40545283,1
20378464,1
60399902,1
70421238,1
90184047,1
00263850,1
50180027,1
80242892,1
20110540,1
20396929,1
20434115,1
50454036,1
20482494,1
20549668,1
40243214,1
60357247,1
60476354,1
80236103,1
90460573,1
40482515,2
50516063,1
00351743,1
20320802,1
