order_number,articles
1316645198,NSSELKLOCKAdc/2pwc240x220/50x80lgry-grn/multi
1318656970,BISSAshoecab3comp49x28x135white
1322780139,VINTERFINT2022deco30hm/Christmastreegreen
1328085284,STRLALEDtbldecohouse/s2battery-op
1331540147,PERSHULTbracket30x30white
1332392682,"GRhammockstand,outgrey"
1343389392,HGAFFELwallhook3-p
1345355819,KOMPLshelf100x58darkgrey
1345367041,"EKTORPNNNfrmso2GB,EKTORPcvrfso2HallarpgreyGB"
1345368239,"PAXwrdfrm100x58x201whiteN,KOMPLclothesrail100white,KOMPLdrwrwglssfrnt100x58white,KOMPLshelf100x58white,PAXwrdfrm75x58x201whiteN,KOMPLclothesrail75white,PAXadd-oncrnrutw4shlvs53x58x201white,KOMPLdrawer50x35white"
1347167339,"KOMPLshelf50x58wsoeff,KOMPLshelf75x58wsoeff"
1347243591,"ODENSVIKwash-basinsingle83x49x6,GONNmirrorcabw2drs80x14x96mirrorglass"
1347635284,KOMPLdrawer100x35wsoeff
1348913559,"PAXwrdfrm50x58x236whiteN,KOMPLshelf50x58white,KOMPLsoftclsnghinge4-p,FORSANDNdoor50x229white,PAXwrdfrm75x58x236whiteN,KOMPLshelf75x58white,KOMPLclothesrail75white,KOMPLp-outrailfbskt58white2-p,KOMPLmeshbskt75x58white,VIKEDALNdoor25x229mirrorglass"
