ISELL_ORDER_NUMBER,PICK_ID,ARTNO,ARTNAME_UNICODE,ORDER_TYPE,PICK_AREA
1352257294,60210,431151,FIXANstick-onflrprots20grey,Truck,Markethall
1352257294,60211,275674,OXBERGpanel/glsdr40x192black-brown,Truck,SelfServe
1352257294,60211,295530,BESTglassshelf56x16glass,Truck,SelfServe
1352257294,60211,10244743,MICKEdesk105x50black-brown,Truck,SelfServe
1352257294,60211,10423886,NORDENNNgatetbl26/89/152x80white,Truck,SelfServe
1352257294,60211,20245959,BESTframe60x20x64black-brown,Truck,SelfServe
1352257294,60211,20485572,TERJEfoldingchairwhite/KnisalightgreyGB,Truck,SelfServe
1352257294,60211,30291658,GLASSVIKglsdr60x64black/clearglass,Truck,SelfServe
1352257294,60211,30341111,EKEDALENchrwhite/RamnalightgreyGB,Truck,SelfServe
1352257294,60211,40263848,BILLYNNNbookcs80x28x202black-brown,Truck,SelfServe
1352257294,60211,50263838,BILLYNNNbookcs40x28x202white,Truck,SelfServe
1352257294,60211,50275558,OXBERGpanel/glsdr40x192white,Truck,SelfServe
1352257294,60211,80215332,VITTSJnesttabless290x50black-brown/glass,Truck,SelfServe
1352257294,60211,80261258,BESTsoftclsng/push-openhinge2-p,Truck,SelfServe
1352257294,60212,30472927,MULLFJLLETconfchairwcastorsNaggendgreyGB,Truck,FullServeinternal
1352257309,60213,490522,VALLENSVEDdoormatin40x60natural,Truck,Markethall
1352257309,60213,20514070,SOCKERBITstorboxwlid38x51x30grey-green,Truck,Markethall
1352257309,60213,20538764,NIMMstorboxwlid32x30x30grey-green,Truck,Markethall
1352257309,60213,40527670,STUKstorcase34x51x28lightgrey-green,Truck,Markethall
1352257309,60213,60300374,FISKBOframe50x70white,Truck,Markethall
1352257309,60213,60466246,PILLEMARKdoormatin50x90rainbow,Truck,Markethall
1352257303,60215,307552,BESTbox25x31x15grey,Truck,Markethall
1352257303,60215,514033,KUGGISboxwlid18x26x15transparentblack,Truck,Markethall
1352257303,60215,20524677,BROGRUNDNhookstainlesssteel2-p,Truck,Markethall
1352257303,60215,30514036,KUGGISboxwlid18x26x8transparentblack,Truck,Markethall
1352257303,60215,70514039,KUGGISboxwlid26x35x15transparentblack,Truck,Markethall
1352257309,60214,324518,KALLAXNshelvingunit77x147whstoakeff,Truck,SelfServe
1352257309,60214,10264302,OLOVlegadjustablewhite,Truck,SelfServe
1352257309,60214,20449517,KLEPPSTADshelf76x50white,Truck,SelfServe
1352257309,60214,50522375,INLGGconnfitt2-p,Truck,SelfServe
1352257309,60214,80460823,LAGKAPTENtbltp140x60whitestainedoakeffect,Truck,SelfServe
1352257303,60216,10331194,HJLPAp-outrailfbskt55white2-p,Truck,SelfServe
1352257303,60216,10385926,FONNESdrawerfrt80x20white,Truck,SelfServe
1352257303,60216,20334314,BILLSBROhandle40mmwhite2-p,Truck,SelfServe
1352257303,60216,40497828,HJLPAadjclthsrail60-100white,Truck,SelfServe
1352257303,60216,50497818,STRAUMENNmirrordoor40x180mirrorglass,Truck,SelfServe
1352257303,60216,60331059,FONNESdoor40x120white,Truck,SelfServe
1352257303,60216,60331200,HJLPAstandardhinges1-p,Truck,SelfServe
1352257303,60216,60505511,HJLPAsusprail55white2-p,Truck,SelfServe
1352257303,60216,80331063,FONNESdoor40x40white,Truck,SelfServe
1352257303,60217,330982,HJLPAdrwrwithoutfront80x55white,Truck,FullServeinternal
1352257303,60217,10246308,KOMPLNdrawer50x58white,Truck,FullServeinternal
1352257303,60217,10257306,KOMPLmeshbskt50x58white,Truck,FullServeinternal
1352257303,60217,10330948,PLATSAframe80x55x40white,Truck,FullServeinternal
1352257303,60217,20331198,LTTHETlegadjustablewhite4-p,Truck,FullServeinternal
1352257303,60217,30263245,KOMPLp-outrailfbskt58white2-p,Truck,FullServeinternal
1352257303,60217,40331164,HJLPAshelf80x55white,Truck,FullServeinternal
1352257303,60217,70330945,PLATSAframe80x55x180white,Truck,FullServeinternal
1352257303,60217,70331186,HJLPAwrebskt80x55white,Truck,FullServeinternal
1352257835,60218,473693,KNALLANbag40x25x47cm/47lblack/white,Collect,Markethall
1352257835,60218,20434832,MURVELshoeorg14x14x24grey,Collect,Markethall
1352257835,60218,30528514,SKOSTALLshoeorg11x19x27black,Collect,Markethall
1352266489,60221,214505,KOMPLsoftclsnghinge3-p,Truck,FullServeinternal
1352266489,60221,257298,KOMPLmeshbskt100x58white,Truck,FullServeinternal
1352266489,60221,20214566,PAXwrdfrm100x58x201whiteN,Truck,FullServeinternal
1352266489,60221,30256891,KOMPLclothesrail100white,Truck,FullServeinternal
1352266489,60221,30263245,KOMPLp-outrailfbskt58white2-p,Truck,FullServeinternal
1352266489,60221,30277959,KOMPLshelf50x58white,Truck,FullServeinternal
1352266489,60221,70214559,PAXwrdfrm50x58x201whiteN,Truck,FullServeinternal
1352266489,60221,70277957,KOMPLshelf100x58white,Truck,FullServeinternal
1352266489,60221,80331930,HEIMdoor50x195mirrorglass,Truck,FullServeinternal
1352266489,60221,90256893,KOMPLclothesrail50white,Truck,FullServeinternal
1352266343,60219,30488966,MLANeaselsoftwood,Collect,SelfServe
1352266489,60220,10333065,BRUNSTApendlampshade20black,Truck,Markethall
1352266489,60220,20484817,TRUBBNATEpendlampshade38white,Truck,Markethall
1352266489,60220,50308196,MUSKOTplantpot12white,Truck,Markethall
1352266489,60220,50518477,SOLHETTAE27470lmglobeopalwhi2-pUK,Truck,Markethall
1352266489,60220,50518910,PLUGGLANDhangerfdoor,Truck,Markethall
1352266489,60220,60533057,SVARTSENAPtable-runner35x130green-blue,Truck,Markethall
1352266489,60220,70256931,KOMPLvalethngr17x5white,Truck,Markethall
1352266489,60220,70534645,SCKKRRAstorcase55x49x19off-white/green,Truck,Markethall
1352266489,60220,90429771,YLLEVADframe13x18black,Truck,Markethall
1352266671,60222,502474,ENSTAKAscnttealt3.5hrBonfire/grey30-p,Collect,Markethall
1352266671,60222,20300248,TILLVAROunscntdtealt100-p,Collect,Markethall
1352266671,60222,20502166,STRTSKNscnttealt3.5hrBerries/red30-p,Collect,Markethall
1352266671,60222,30456593,MLAwhitebrdpenmixedcolours4-p,Collect,Markethall
1352266671,60222,40504249,HEDERSAMscnttealt3.5hrFreshgrass/lgrn30-p,Collect,Markethall
1352266671,60222,50456592,MLAwhiteboardpenwhldr/erasermixcol4-p,Collect,Markethall
1352266671,60222,50471026,LNSSmirror21x30,Collect,Markethall
1352266671,60222,50525642,ISTADresealablebagpatterned/blackyellow60-p,Collect,Markethall
1352266671,60222,60159520,BOLMENtoilbrshhldrblack,Collect,Markethall
1352266671,60222,60452174,IKEA365+foodcntnr750mlsquare/plastic3-p,Collect,Markethall
1352266671,60222,70193321,MLANchalksmixedcolours9-p,Collect,Markethall
1352266671,60222,70238541,BUMERANGhangerwhite,Collect,Markethall
1352266671,60222,70456591,MLAfelt-tippenmixedcolours24-p,Collect,Markethall
1352266671,60222,80429757,YLLEVADframe21x30white,Collect,Markethall
1352266671,60223,20278167,KALLAXinsertwdoor33x33white,Collect,SelfServe
1352266671,60223,40501892,KALLAXufrm146x39x18white,Collect,SelfServe
1352266671,60223,70286645,KALLAXNNinsertw2drw33x33white,Collect,SelfServe
1352266671,60223,80089239,TROFASTNstorbox42x30x10white,Collect,SelfServe
1352266671,60223,80275887,KALLAXshelvingunit77x147white,Collect,SelfServe
1352266671,60223,95685100,TROFASTstorbox42x30x23white,Collect,SelfServe
1352276101,60227,40539183,SMHAGEL3-prtUSBchrgrwhiteGB,Collect,Markethall
1352276101,60227,60444688,SOCKERBITboxwlid38x51x30pink,Collect,Markethall
1352266938,60224,30426836,STOENSEruglowpile200x300mediumgrey,Collect,SelfServe
1352275893,60226,80275887,KALLAXshelvingunit77x147white,Collect,SelfServe
1352274734,60225,40456899,HAUGAchest/3drw70x84grey,Collect,SelfServe
1352276101,60228,40503546,SKRUVBYbookcs60x140white,Collect,SelfServe
1352276423,60229,466598,BAGISNcoat-hangerchildmixedcolours8-p,Collect,Markethall
1352276423,60229,40446122,LAPPMEShandle112mmbirch2-p,Collect,Markethall
1352276423,60230,40497828,HJLPAadjclthsrail60-100white,Collect,SelfServe
1352276423,60230,50472827,SMSTADtopfstormodule60x55white,Collect,SelfServe
1352276423,60230,60505511,HJLPAsusprail55white2-p,Collect,SelfServe
1352276423,60230,90382882,HJLPAsoftclsnghinge1-p,Collect,SelfServe
1352276423,60231,10330972,PLATSAframe60x55x60white,Collect,FullServeinternal
1352276423,60231,20331198,LTTHETlegadjustablewhite4-p,Collect,FullServeinternal
1352276423,60231,20434163,SMSTADdoor30x90white2-p,Collect,FullServeinternal
1352276423,60231,40436774,KONSTRUERAdrwrwithoutfront30x60white,Collect,FullServeinternal
1352276423,60231,50330951,PLATSAframe60x55x180white,Collect,FullServeinternal
1352276423,60231,70434113,SMSTADdrawerfrt60x30white,Collect,FullServeinternal
1352276423,60231,90331166,HJLPAshelf60x55white,Collect,FullServeinternal
1352276857,60232,217797,GUNDEfoldingchairblack,Collect,SelfServe
1352277404,60233,428549,SKUBBNboxs6white,PUP,Markethall
