ARTNO,TRUCK,COLLECT,OTHER
100467,0.0,1.0,0.0
103343,1.0,0.0,0.0
116595,1.0,0.0,0.0
138432,1.0,0.0,0.0
177225,0.0,1.0,0.0
205493,1.0,0.0,0.0
205501,1.0,0.0,0.0
205662,1.0,0.0,0.0
212554,1.0,0.0,0.0
214505,0.8947368421052632,0.0,0.10526315789473684
217797,0.0,1.0,0.0
228705,1.0,0.0,0.0
246417,1.0,0.0,0.0
256944,0.0,1.0,0.0
257298,0.375,0.0,0.625
257302,0.3333333333333333,0.0,0.6666666666666667
257646,0.0,0.0,1.0
263850,1.0,0.0,0.0
275674,1.0,0.0,0.0
275848,0.0,1.0,0.0
277989,0.0,1.0,0.0
280637,1.0,0.0,0.0
285036,1.0,0.0,0.0
295530,1.0,0.0,0.0
296313,1.0,0.0,0.0
300386,1.0,0.0,0.0
307552,1.0,0.0,0.0
309235,1.0,0.0,0.0
324518,0.25,0.75,0.0
330982,0.5,0.0,0.5
331057,1.0,0.0,0.0
331161,0.0,0.0,1.0
334923,0.0,1.0,0.0
336432,1.0,0.0,0.0
338412,1.0,0.0,0.0
343003,0.0,1.0,0.0
347510,1.0,0.0,0.0
349849,0.0,0.0,1.0
351248,1.0,0.0,0.0
351743,0.0,1.0,0.0
359206,1.0,0.0,0.0
362746,1.0,0.0,0.0
366301,0.0,1.0,0.0
371270,0.0,1.0,0.0
392461,1.0,0.0,0.0
395624,1.0,0.0,0.0
396416,1.0,0.0,0.0
402813,0.0,1.0,0.0
414830,0.0,0.0,1.0
421185,1.0,0.0,0.0
423721,0.0,1.0,0.0
426282,1.0,0.0,0.0
426828,1.0,0.0,0.0
428549,0.16666666666666666,0.6666666666666666,0.16666666666666674
431151,1.0,0.0,0.0
440768,0.0,1.0,0.0
441758,1.0,0.0,0.0
445332,1.0,0.0,0.0
445370,1.0,0.0,0.0
452544,0.0,0.5,0.5
453058,0.0,1.0,0.0
458697,1.0,0.0,0.0
459913,0.0,1.0,0.0
461379,0.3333333333333333,0.6666666666666666,1.1102230246251565e-16
466598,0.0,1.0,0.0
473546,0.2,0.8,0.0
473693,0.0,1.0,0.0
488425,0.0,1.0,0.0
490522,1.0,0.0,0.0
497000,0.0,0.0,1.0
502105,0.0,1.0,0.0
502474,0.0,1.0,0.0
510308,1.0,0.0,0.0
511223,0.0,0.0,1.0
514033,1.0,0.0,0.0
521948,1.0,0.0,0.0
527158,0.0,1.0,0.0
537652,0.0,1.0,0.0
542998,0.0,1.0,0.0
547038,0.0,1.0,0.0
549546,0.0,1.0,0.0
553232,0.0,1.0,0.0
4375085,1.0,0.0,0.0
10056770,0.0,1.0,0.0
10178601,1.0,0.0,0.0
10203610,1.0,0.0,0.0
10205421,1.0,0.0,0.0
10205483,1.0,0.0,0.0
10205614,0.5,0.0,0.5
10205633,1.0,0.0,0.0
10211276,1.0,0.0,0.0
10242739,0.0,1.0,0.0
10244743,1.0,0.0,0.0
10246308,0.6,0.0,0.4
10257306,0.75,0.0,0.25
10263232,0.0,0.0,1.0
10264302,1.0,0.0,0.0
10269696,1.0,0.0,0.0
10270478,0.0,1.0,0.0
10277984,0.6666666666666666,0.0,0.33333333333333337
10293564,0.0,1.0,0.0
10301125,0.0,0.0,1.0
10301960,1.0,0.0,0.0
10304355,0.0,0.0,1.0
10308198,0.0,1.0,0.0
10311308,0.0,1.0,0.0
10311539,1.0,0.0,0.0
10330948,0.5,0.0,0.5
10330953,0.0,0.0,1.0
10330972,0.0,1.0,0.0
10331165,0.0,0.0,1.0
10331194,0.6666666666666666,0.3333333333333333,5.551115123125783e-17
10333065,1.0,0.0,0.0
10338421,1.0,0.0,0.0
10339171,0.5,0.5,0.0
10357004,1.0,0.0,0.0
10365419,0.0,1.0,0.0
10365928,1.0,0.0,0.0
10368489,1.0,0.0,0.0
10378445,1.0,0.0,0.0
10381909,1.0,0.0,0.0
10385926,1.0,0.0,0.0
10385950,0.0,1.0,0.0
10391772,1.0,0.0,0.0
10401931,0.0,1.0,0.0
10408683,1.0,0.0,0.0
10409932,1.0,0.0,0.0
10423886,1.0,0.0,0.0
10429973,0.0,1.0,0.0
