order_number,articles
1316645198,70518513
1318656970,10242739
1322780139,527158
1328085284,60532208
1331540147,20399895
1332392682,80251513
1343389392,70532062
1345355819,60509142
1345367041,"60185034,60503569"
1345368239,"20214566,30256891,20246708,70277957,70214564,40256895,70346932,30246722"
1347167339,"70277981,50277977"
1347243591,"40180805,10304355"
1347635284,60272837
1348913559,"80214568,30277959,30214504,10442385,20214571,90277961,40256895,30263245,20257315,10301125"
1348940750,"10446883,10529086,60342656,60529084,70529088,10446557,214505,10368489,20214566,20329195,30256891,30277959,70214559,70246386,70277957,70346932,80331930,90256893"
1348972323,"70256931,10357004,246417,10246308,10257306,30214504,30256891,30263245,30277959,50214560,50330606,70246683,70277957,80214568,80410055,90256893"
1349008932,40256895
1349010281,30529467
1349053640,"103343,70403606,214505,20214566,30256891,60442383,70277957"
1350762454,20481692
1350766914,"20214566,30256891,70277957,90246352,30263245,257298,214505,60442383"
1350778099,"257298,30263245"
1350780513,80470030
1350790257,80470030
1350798632,40295439
1350799796,"30256891,70246683,30277959"
1350801140,80221451
1350804330,"10246308,30277959"
1350806384,50214560
1350815834,60263244
1350818197,"30382347,10458183,60211274,60246396,10257306,10246308,70214564,30263245,20257315,90277961,40256895"
1350818352,60431718
1350821090,497000
1350831813,90027972
1350842867,80474764
1350845573,50242723
1350855337,40459992
1350869241,"70290360,40318978,214505,10277984,20201724,40201723,60473015,70246348,70277981,80256940,80331930"
1350878076,"452544,20331198"
1350878346,"70509132,30214504,20510939,90509145,10509125,60509142,80256940,10263232,40257296"
1350879015,10205614
1350887271,"10446883,50356187,60529084,228705,10357004,10486732,40480856,214505,10246308,10257306,10368489,20423602,30246722,30263245,30277959,40256895,60442383,70214559,70214564,70346932,80331930,90256893"
1350895912,"20214566,70214559,70277957,30256891,90246352"
1350909917,40233535
1350914521,"30195548,60400321"
1352257294,"431151,275674,295530,10244743,10423886,20245959,20485572,30291658,30341111,40263848,50263838,50275558,80215332,80261258,30472927"
1352257303,"307552,514033,20524677,30514036,70514039,10331194,10385926,20334314,40497828,50497818,60331059,60331200,60505511,80331063,330982,10246308,10257306,10330948,20331198,30263245,40331164,70330945,70331186"
1352257309,"490522,20514070,20538764,40527670,60300374,60466246,324518,10264302,20449517,50522375,80460823"
1352257835,"473693,20434832,30528514"
1352266343,30488966
1352266489,"214505,257298,20214566,30256891,30263245,30277959,70214559,70277957,80331930,90256893,10333065,20484817,50308196,50518477,50518910,60533057,70256931,70534645,90429771"
1352266671,"502474,20300248,20502166,30456593,40504249,50456592,50471026,50525642,60159520,60452174,70193321,70238541,70456591,80429757,20278167,40501892,70286645,80089239,80275887,95685100"
1352266938,30426836
1352274734,40456899
1352275893,80275887
1352276101,"40539183,60444688,40503546"
1352276423,"466598,40446122,40497828,50472827,60505511,90382882,10330972,20331198,20434163,40436774,50330951,70434113,90331166"
1352276857,217797
1352277347,"473546,40460815"
1352277404,"428549,60403584"
1352277456,"24524485,40399998,70467721,30326177,50474751,40507342"
1352277571,"70366798,90347351"
1352277623,"30378454,70186090"
1352277927,"80275887,90347351,90366783"
1352283493,"80261258,90382882,30277959,60273417,70246683,80272841"
1352283891,396416
1352284309,"60427523,30421240"
1352284454,"20317079,441758,80309241"
1352284786,"275848,423721,70286645"
1352284789,"50520753,90262196,10510299,10515485,20532309,50445320"
1352284840,70292104
1352285270,"10331194,70246348,70331186"
1352288033,"30179435,80480393,10311308,10385950"
1352288036,80275887
1352288424,"488425,549546,20468110,20518474,30351143,30546966,50258323,50353612,90538001,30514791"
1352288595,90348586
1352289763,"30326771,50509374,70527720,80326778"
1352290339,"10365419,60400000,30479740,30483148"
1352290442,"440768,10436959,50444783,90440764,90466155"
1352290968,"40525685,50525642,60348125,90435102,20275814,90282180"
1352291320,"20219936,60217228,70217157,70396917,80396926"
1352291321,10530259
1352294122,"20519888,40321631,50320805,50517760,80010222,90198030,90519880,60501886"
1352294948,90277961
1352295020,"10401931,10443974,90301555"
1352295253,"309235,60322130"
1352295316,40469302
1352296121,"20317079,40497828,60282186,90309245,60214569"
1352296139,"20403562,80214549"
1352296367,"324518,10443974"
1352296515,90392046
1352298535,70521539
1352298875,30263844
1352300939,"50357002,10205421,40205599,40327505,50205612,60212565,80524882"
1352300974,"553232,30553235,70238541,70512648,70277957"
1352303655,"10436978,362746,10331194,20451379,80362974,90160211,90446148,80436965"
1352303826,"50471026,80429757"
1352304246,"50342237,50443811,445370,20510307,20532743,50457105,50510301,60391859,60396121,60412932,60510310,70417892,80391764,90511105"
1352304858,"10443974,10477935,40217955,60395876"
1352305217,"10502930,50486650"
1352306312,20390871
1352307161,"280637,50465756,50518477,20410534,40430588,50474751,70320319,80320521,40507342"
1352308037,116595
1352308040,"40211977,70277995"
1352308620,"458697,50458831,60185034,90472340"
1352309339,"10311308,20200456"
1352309654,"40415031,60534641,80377937,50490138"
1352309976,"50160208,90124534"
1352310072,"10244743,40294982,40295528,40393661,50293604,60293566,90294512"
1352310484,"445332,510308,10391772,10510299,30391766,30409295,40391836,40456286,40510306,50396094,50494141,60396121,60409294,60518486,70510300,90391853,90511105"
1352311565,"10357004,214505,20214566,30256891,60442383,70277957"
1352311697,"428549,10308198,30238543,60474425,10429973,60403602,80214549"
1352312647,"347510,214505,20214566,40256942,70214559,80256940,90510945"
1352312847,"343003,461379,10270478,20476346,40458600,70392844,80435942,80461380,90207402"
1352313426,"10492455,70261131"
1352313822,"445332,510308,10391772,10510299,30391766,30409295,40391836,40456286,40510306,50396094,50494141,60396121,60409294,60518486,70510300,90391853,90511105"
1352313913,40534562
1352314474,20214731
1352315399,"70292104,30351746,40351741"
1352315944,80275887
1352316246,80094014
1352316957,10269696
1352317844,"20275814,20301554"
1352318152,10423886
1352318209,"30281739,10293564,50293604,30277959,80214568"
